Date,Stock,Action,Shares,Price,Value,Cost
2013-11-14,AAPL,BUY,215,10.427714347839355,2241.9585847854614,2.2419585847854613
2013-11-15,AAPL,SELL,160,10.482593536376951,1677.2149658203123,1.6772149658203124
2013-11-18,AAPL,BUY,808,10.263066291809082,8292.557563781738,8.292557563781738
2013-11-19,AAPL,SELL,66291,10.084697723388672,668524.6967811584,668.5246967811585
2013-11-20,AAPL,BUY,146,10.00922966003418,1461.3475303649902,1.4613475303649903
2013-11-21,AAPL,BUY,33,10.036675453186035,331.21028995513916,0.3312102899551392
2013-11-22,AAPL,BUY,66314,10.029810905456545,665116.8803844453,665.1168803844453
2013-11-25,AAPL,BUY,207,9.968070030212402,2063.3904962539673,2.0633904962539673
2013-11-26,AAPL,SELL,66900,9.89946746826172,662274.3736267091,662.2743736267091
2013-11-27,AAPL,BUY,288,9.926909446716309,2858.949920654297,2.8589499206542968
2013-11-29,AAPL,BUY,171,9.99551010131836,1709.2322273254395,1.7092322273254394
2013-12-02,AAPL,BUY,66109,9.926909446716309,656258.0566129684,656.2580566129684
2013-12-03,AAPL,SELL,65300,10.208184242248535,666594.4310188293,666.5944310188294
2013-12-04,AAPL,BUY,64024,10.503173828125,672455.201171875,672.455201171875
2013-12-05,AAPL,BUY,619,10.112136840820312,6259.412704467773,6.259412704467773
2013-12-06,AAPL,SELL,63882,10.30422306060791,658254.3775577545,658.2543775577545
2013-12-09,AAPL,BUY,63641,10.091553688049316,642236.5682611465,642.2365682611465
2013-12-10,AAPL,SELL,65196,9.940625190734863,648088.9999351501,648.0889999351501
2013-12-11,AAPL,SELL,157,9.82400131225586,1542.36820602417,1.54236820602417
2013-12-12,AAPL,SELL,1662,9.501569747924805,15791.608921051025,15.791608921051026
2013-12-13,AAPL,SELL,1045,9.384943008422852,9807.26544380188,9.80726544380188
2013-12-16,AAPL,BUY,1086,9.577028274536133,10400.65270614624,10.400652706146241
2013-12-17,AAPL,BUY,168,9.563309669494627,1606.6360244750974,1.6066360244750975
2013-12-18,AAPL,BUY,731,9.748537063598633,7126.180593490601,7.1261805934906
2013-12-19,AAPL,BUY,67850,9.686797142028809,657249.1860866547,657.2491860866547
2013-12-20,AAPL,SELL,67529,9.82400131225586,663404.9846153259,663.4049846153259
2013-12-23,AAPL,BUY,67026,9.872026443481444,661682.4444007872,661.6824444007873
2013-12-24,AAPL,SELL,66671,9.926909446716309,661836.979722023,661.836979722023
2013-12-26,AAPL,BUY,66511,9.920048713684082,659792.359995842,659.792359995842
2013-12-27,AAPL,BUY,59,9.913187980651855,584.8780908584595,0.5848780908584594
2013-12-30,AAPL,SELL,66689,9.920048713684082,661558.1286668777,661.5581286668778
2013-12-31,AAPL,BUY,160,9.954349517822266,1592.6959228515625,1.5926959228515625
2014-01-02,AAPL,BUY,66800,9.78969955444336,653951.9302368164,653.9519302368165
2014-01-03,AAPL,SELL,67712,9.74167823791504,659628.5168457032,659.6285168457033
2014-01-06,AAPL,BUY,626,9.837726593017578,6158.416847229004,6.158416847229004
